역명,월,이용인원,승차인원,하차인원
계양,7,230306,115073,115233
귤현,7,69245,32604,36641
박촌,7,264969,138535,126434
임학,7,504150,258311,245839
계산,7,745075,376185,368890
경인교대입구,7,445690,230878,214812
작전,7,933277,471952,461325
갈산,7,577724,291601,286123
부평구청,7,449931,218830,231101
부평시장,7,718368,356447,361921
부평,7,418019,199936,218083
동수,7,263251,133160,130091
부평삼거리,7,163317,83045,80272
간석오거리,7,818115,416120,401995
인천시청,7,430464,215849,214615
예술회관,7,728913,358994,369919
인천터미널,7,1062295,532466,529829
문학경기장,7,110107,55563,54544
선학,7,441291,222872,218419
신연수,7,367940,187774,180166
원인재,7,236841,122460,114381
동춘,7,656871,325331,331540
동막,7,385799,196209,189590
캠퍼스타운,7,259781,131270,128511
테크노파크,7,185313,92920,92393
지식정보단지,7,210170,104811,105359
인천대입구,7,154568,76460,78108
센트럴파크,7,136235,67591,68644
국제업무지구,7,54571,26372,28199
계양,8,219490,108739,110751
귤현,8,66038,31227,34811
박촌,8,241465,125792,115673
임학,8,475325,241094,234231
계산,8,690396,347663,342733
경인교대입구,8,425869,218884,206985
작전,8,867572,437073,430499
갈산,8,521683,262926,258757
부평구청,8,414209,201094,213115
부평시장,8,666969,329362,337607
부평,8,398794,189451,209343
동수,8,243015,122468,120547
부평삼거리,8,151420,76488,74932
간석오거리,8,752685,381915,370770
인천시청,8,389867,195050,194817
예술회관,8,693572,340436,353136
인천터미널,8,1067521,532875,534646
문학경기장,8,130279,64770,65509
선학,8,414428,208072,206356
신연수,8,333257,169838,163419
원인재,8,214508,110737,103771
동춘,8,608443,300253,308190
동막,8,344962,174754,170208
캠퍼스타운,8,244174,122712,121462
테크노파크,8,165423,82922,82501
지식정보단지,8,190939,95335,95604
인천대입구,8,123748,61026,62722
센트럴파크,8,137649,67803,69846
국제업무지구,8,47267,21880,25387
계양,9,252822,127428,125394
귤현,9,71569,33301,38268
박촌,9,250576,131534,119042
임학,9,497140,254037,243103
계산,9,800040,405943,394097
경인교대입구,9,455681,235601,220080
작전,9,941156,477486,463670
갈산,9,557363,282376,274987
부평구청,9,440258,214575,225683
부평시장,9,708193,351780,356413
부평,9,428124,205735,222389
동수,9,253789,128288,125501
부평삼거리,9,188708,95914,92794
간석오거리,9,798899,406621,392278
인천시청,9,420444,211703,208741
예술회관,9,700935,346544,354391
인천터미널,9,1111254,559406,551848
문학경기장,9,314685,155661,159024
선학,9,466474,235384,231090
신연수,9,374585,190943,183642
원인재,9,225448,116766,108682
동춘,9,624953,310338,314615
동막,9,360894,183569,177325
캠퍼스타운,9,278580,141460,137120
테크노파크,9,189288,94726,94562
지식정보단지,9,222149,110483,111666
인천대입구,9,288417,143454,144963
센트럴파크,9,157475,78371,79104
국제업무지구,9,39116,19038,20078
계양,10,258693,131221,127472
귤현,10,76673,35588,41085
박촌,10,265712,139924,125788
임학,10,534767,274601,260166
계산,10,855357,433470,421887
경인교대입구,10,488593,254310,234283
작전,10,991719,505623,486096
갈산,10,608083,308873,299210
부평구청,10,475355,231420,243935
부평시장,10,738025,366627,371398
부평,10,441482,213728,227754
동수,10,264694,134690,130004
부평삼거리,10,168706,86040,82666
간석오거리,10,855149,435675,419474
인천시청,10,450551,226771,223780
예술회관,10,717989,356099,361890
인천터미널,10,1128730,570981,557749
문학경기장,10,198703,99246,99457
선학,10,469983,237737,232246
신연수,10,402554,205518,197036
원인재,10,242693,126242,116451
동춘,10,651962,324069,327893
동막,10,389317,198711,190606
캠퍼스타운,10,296210,150883,145327
테크노파크,10,187991,94522,93469
지식정보단지,10,242650,120860,121790
인천대입구,10,320416,160402,160014
센트럴파크,10,199966,97991,101975
국제업무지구,10,50411,25624,24787
계양,11,226303,115090,111213
귤현,11,70714,32732,37982
박촌,11,246787,129735,117052
임학,11,504061,258939,245122
계산,11,803914,408374,395540
경인교대입구,11,467123,243259,223864
작전,11,937865,478278,459587
갈산,11,572576,290830,281746
부평구청,11,447156,217433,229723
부평시장,11,698554,347301,351253
부평,11,428025,207154,220871
동수,11,252952,128180,124772
부평삼거리,11,155834,79398,76436
간석오거리,11,792990,404025,388965
인천시청,11,418037,210456,207581
예술회관,11,713389,353065,360324
인천터미널,11,1066401,537541,528860
문학경기장,11,76445,38985,37460
선학,11,435467,219857,215610
신연수,11,373589,191129,182460
원인재,11,223974,116752,107222
동춘,11,615820,306247,309573
동막,11,364988,186248,178740
캠퍼스타운,11,272951,138881,134070
테크노파크,11,172727,87111,85616
지식정보단지,11,227444,113188,114256
인천대입구,11,300342,151388,148954
센트럴파크,11,133302,66421,66881
국제업무지구,11,28845,14146,14699
계양,12,218936,111476,107460
귤현,12,70613,32795,37818
박촌,12,262153,138023,124130
임학,12,526493,270810,255683
계산,12,799668,406642,393026
경인교대입구,12,471572,245395,226177
작전,12,974016,496990,477026
갈산,12,604919,307039,297880
부평구청,12,470133,229283,240850
부평시장,12,731754,364491,367263
부평,12,471418,228517,242901
동수,12,267200,134801,132399
부평삼거리,12,160096,81873,78223
간석오거리,12,842177,430177,412000
인천시청,12,437128,220847,216281
예술회관,12,762412,378581,383831
인천터미널,12,1133744,572037,561707
문학경기장,12,75473,38995,36478
선학,12,460884,233386,227498
신연수,12,384169,196759,187410
원인재,12,223938,116686,107252
동춘,12,665811,331339,334472
동막,12,383033,195527,187506
캠퍼스타운,12,268106,136666,131440
테크노파크,12,180521,90714,89807
지식정보단지,12,228977,114444,114533
인천대입구,12,240576,120417,120159
센트럴파크,12,126305,62740,63565
국제업무지구,12,30359,15091,15268
