STD_YM,DAY_CD,INDTY_CGR_NM,CTPV_NM,CTGG_NM,RANK,YEAR,MONTH
201907,4,한식,서울특별시,광진구,1,2019,7
201907,1,양식,서울특별시,마포구,1,2019,7
201907,1,한식,서울특별시,마포구,2,2019,7
201907,1,분식,서울특별시,마포구,3,2019,7
201907,1,중식,서울특별시,마포구,4,2019,7
201907,1,양식,서울특별시,마포구,5,2019,7
201907,2,양식,서울특별시,마포구,1,2019,7
201907,2,한식,서울특별시,마포구,2,2019,7
201907,2,분식,서울특별시,마포구,3,2019,7
201907,2,중식,서울특별시,마포구,4,2019,7
201907,2,양식,서울특별시,마포구,5,2019,7
201907,3,양식,서울특별시,마포구,1,2019,7
201907,3,한식,서울특별시,마포구,2,2019,7
201907,3,분식,서울특별시,마포구,3,2019,7
201907,3,중식,서울특별시,마포구,4,2019,7
201907,3,동남아,서울특별시,마포구,5,2019,7
201907,4,양식,서울특별시,마포구,1,2019,7
201907,4,한식,서울특별시,마포구,2,2019,7
201907,4,분식,서울특별시,마포구,3,2019,7
201907,4,중식,서울특별시,마포구,4,2019,7
201907,4,양식,서울특별시,마포구,5,2019,7
201907,5,양식,서울특별시,마포구,1,2019,7
201907,5,한식,서울특별시,마포구,2,2019,7
201907,5,중식,서울특별시,마포구,3,2019,7
201907,5,분식,서울특별시,마포구,4,2019,7
201907,5,양식,서울특별시,마포구,5,2019,7
201907,6,한식,서울특별시,마포구,1,2019,7
201907,6,양식,서울특별시,마포구,2,2019,7
201907,6,양식,서울특별시,마포구,3,2019,7
201907,6,중식,서울특별시,마포구,4,2019,7
201907,6,일식,서울특별시,마포구,5,2019,7
201907,7,한식,서울특별시,마포구,1,2019,7
201907,7,양식,서울특별시,마포구,2,2019,7
201907,7,양식,서울특별시,마포구,3,2019,7
201907,7,중식,서울특별시,마포구,4,2019,7
201907,7,분식,서울특별시,마포구,5,2019,7
201907,1,한식,서울특별시,강서구,1,2019,7
201907,1,양식,서울특별시,강서구,2,2019,7
201907,1,일식,서울특별시,강서구,3,2019,7
201907,1,동남아,서울특별시,강서구,4,2019,7
201907,1,중식,서울특별시,강서구,5,2019,7
201907,2,한식,서울특별시,강서구,1,2019,7
201907,2,양식,서울특별시,강서구,2,2019,7
201907,2,일식,서울특별시,강서구,3,2019,7
201907,2,동남아,서울특별시,강서구,4,2019,7
201907,2,중식,서울특별시,강서구,5,2019,7
201907,3,한식,서울특별시,강서구,1,2019,7
201907,3,양식,서울특별시,강서구,2,2019,7
201907,3,일식,서울특별시,강서구,3,2019,7
201907,3,중식,서울특별시,강서구,4,2019,7
201907,3,동남아,서울특별시,강서구,5,2019,7
201907,4,한식,서울특별시,강서구,1,2019,7
201907,4,양식,서울특별시,강서구,2,2019,7
201907,4,일식,서울특별시,강서구,3,2019,7
201907,4,중식,서울특별시,강서구,4,2019,7
201907,4,동남아,서울특별시,강서구,5,2019,7
201907,5,한식,서울특별시,강서구,1,2019,7
201907,5,양식,서울특별시,강서구,2,2019,7
201907,5,일식,서울특별시,강서구,3,2019,7
201907,5,중식,서울특별시,강서구,4,2019,7
201907,5,동남아,서울특별시,강서구,5,2019,7
201907,6,양식,서울특별시,강서구,1,2019,7
201907,6,한식,서울특별시,강서구,2,2019,7
201907,6,일식,서울특별시,강서구,3,2019,7
201907,6,양식,서울특별시,강서구,4,2019,7
201907,6,중식,서울특별시,강서구,5,2019,7
201907,7,양식,서울특별시,강서구,1,2019,7
201907,7,한식,서울특별시,강서구,2,2019,7
201907,7,중식,서울특별시,강서구,3,2019,7
201907,7,양식,서울특별시,강서구,4,2019,7
201907,7,동남아,서울특별시,강서구,5,2019,7
201907,1,한식,서울특별시,구로구,1,2019,7
201907,1,일식,서울특별시,구로구,2,2019,7
201907,1,중식,서울특별시,구로구,3,2019,7
201907,1,동남아,서울특별시,구로구,4,2019,7
201907,1,분식,서울특별시,구로구,5,2019,7
201907,2,한식,서울특별시,구로구,1,2019,7
201907,2,일식,서울특별시,구로구,2,2019,7
201907,2,중식,서울특별시,구로구,3,2019,7
201907,2,동남아,서울특별시,구로구,4,2019,7
201907,2,분식,서울특별시,구로구,5,2019,7
201907,3,한식,서울특별시,구로구,1,2019,7
201907,3,일식,서울특별시,구로구,2,2019,7
201907,3,중식,서울특별시,구로구,3,2019,7
201907,3,분식,서울특별시,구로구,4,2019,7
201907,3,동남아,서울특별시,구로구,5,2019,7
201907,4,한식,서울특별시,구로구,1,2019,7
201907,4,일식,서울특별시,구로구,2,2019,7
201907,4,중식,서울특별시,구로구,3,2019,7
201907,4,동남아,서울특별시,구로구,4,2019,7
201907,4,분식,서울특별시,구로구,5,2019,7
201907,5,한식,서울특별시,구로구,1,2019,7
201907,5,일식,서울특별시,구로구,2,2019,7
201907,5,중식,서울특별시,구로구,3,2019,7
201907,5,동남아,서울특별시,구로구,4,2019,7
201907,5,양식,서울특별시,구로구,5,2019,7
201907,6,중식,서울특별시,구로구,1,2019,7
201907,6,한식,서울특별시,구로구,2,2019,7
201907,6,분식,서울특별시,구로구,3,2019,7
201907,7,분식,서울특별시,구로구,1,2019,7
201907,7,양식,서울특별시,구로구,2,2019,7
201907,7,한식,서울특별시,구로구,3,2019,7
201907,1,양식,서울특별시,금천구,1,2019,7
201907,1,한식,서울특별시,금천구,2,2019,7
201907,1,동남아,서울특별시,금천구,3,2019,7
201907,1,분식,서울특별시,금천구,4,2019,7
201907,1,중식,서울특별시,금천구,5,2019,7
201907,2,양식,서울특별시,금천구,1,2019,7
201907,2,한식,서울특별시,금천구,2,2019,7
201907,2,동남아,서울특별시,금천구,3,2019,7
201907,2,분식,서울특별시,금천구,4,2019,7
201907,2,중식,서울특별시,금천구,5,2019,7
201907,3,양식,서울특별시,금천구,1,2019,7
201907,3,한식,서울특별시,금천구,2,2019,7
201907,3,동남아,서울특별시,금천구,3,2019,7
201907,3,분식,서울특별시,금천구,4,2019,7
201907,3,중식,서울특별시,금천구,5,2019,7
201907,4,양식,서울특별시,금천구,1,2019,7
201907,4,동남아,서울특별시,금천구,2,2019,7
201907,4,한식,서울특별시,금천구,3,2019,7
201907,4,분식,서울특별시,금천구,4,2019,7
201907,4,중식,서울특별시,금천구,5,2019,7
201907,5,양식,서울특별시,금천구,2,2019,7
201907,5,한식,서울특별시,금천구,1,2019,7
201907,5,동남아,서울특별시,금천구,3,2019,7
201907,5,분식,서울특별시,금천구,4,2019,7
201907,5,중식,서울특별시,금천구,5,2019,7
201907,6,동남아,서울특별시,금천구,1,2019,7
201907,6,분식,서울특별시,금천구,2,2019,7
201907,6,한식,서울특별시,금천구,3,2019,7
201907,6,양식,서울특별시,금천구,4,2019,7
201907,6,중식,서울특별시,금천구,5,2019,7
201907,7,동남아,서울특별시,금천구,1,2019,7
201907,7,양식,서울특별시,금천구,2,2019,7
201907,7,중식,서울특별시,금천구,3,2019,7
201907,7,분식,서울특별시,금천구,4,2019,7
201907,7,한식,서울특별시,금천구,5,2019,7
201907,1,한식,서울특별시,영등포구,1,2019,7
201907,1,양식,서울특별시,영등포구,2,2019,7
201907,1,분식,서울특별시,영등포구,3,2019,7
201907,1,중식,서울특별시,영등포구,4,2019,7
201907,1,동남아,서울특별시,영등포구,5,2019,7
201907,2,한식,서울특별시,영등포구,1,2019,7
201907,2,양식,서울특별시,영등포구,2,2019,7
201907,2,분식,서울특별시,영등포구,3,2019,7
201907,2,중식,서울특별시,영등포구,4,2019,7
201907,2,동남아,서울특별시,영등포구,5,2019,7
201907,3,한식,서울특별시,영등포구,1,2019,7
201907,3,양식,서울특별시,영등포구,2,2019,7
201907,3,분식,서울특별시,영등포구,3,2019,7
201907,3,중식,서울특별시,영등포구,4,2019,7
201907,3,동남아,서울특별시,영등포구,5,2019,7
201907,4,한식,서울특별시,영등포구,1,2019,7
201907,4,분식,서울특별시,영등포구,2,2019,7
201907,4,양식,서울특별시,영등포구,3,2019,7
201907,4,중식,서울특별시,영등포구,4,2019,7
201907,4,동남아,서울특별시,영등포구,5,2019,7
201907,5,한식,서울특별시,영등포구,1,2019,7
201907,5,양식,서울특별시,영등포구,2,2019,7
201907,5,분식,서울특별시,영등포구,3,2019,7
201907,5,중식,서울특별시,영등포구,4,2019,7
201907,5,동남아,서울특별시,영등포구,5,2019,7
201907,6,한식,서울특별시,영등포구,1,2019,7
201907,6,분식,서울특별시,영등포구,2,2019,7
201907,6,중식,서울특별시,영등포구,3,2019,7
201907,6,일식,서울특별시,영등포구,4,2019,7
201907,6,양식,서울특별시,영등포구,5,2019,7
201907,7,한식,서울특별시,영등포구,1,2019,7
201907,7,중식,서울특별시,영등포구,2,2019,7
201907,7,양식,서울특별시,영등포구,3,2019,7
201907,7,동남아,서울특별시,영등포구,4,2019,7
201907,7,분식,서울특별시,영등포구,5,2019,7
201907,1,양식,서울특별시,동작구,1,2019,7
201907,1,한식,서울특별시,동작구,2,2019,7
201907,1,동남아,서울특별시,동작구,3,2019,7
201907,1,양식,서울특별시,동작구,4,2019,7
201907,1,일식,서울특별시,동작구,5,2019,7
201907,2,양식,서울특별시,동작구,1,2019,7
201907,2,한식,서울특별시,동작구,2,2019,7
201907,2,동남아,서울특별시,동작구,3,2019,7
201907,2,양식,서울특별시,동작구,4,2019,7
201907,2,일식,서울특별시,동작구,5,2019,7
201907,3,양식,서울특별시,동작구,1,2019,7
201907,3,한식,서울특별시,동작구,2,2019,7
201907,3,동남아,서울특별시,동작구,3,2019,7
201907,3,양식,서울특별시,동작구,4,2019,7
201907,3,일식,서울특별시,동작구,5,2019,7
201907,4,양식,서울특별시,동작구,1,2019,7
201907,4,한식,서울특별시,동작구,2,2019,7
201907,4,동남아,서울특별시,동작구,3,2019,7
201907,4,중식,서울특별시,동작구,4,2019,7
201907,4,양식,서울특별시,동작구,5,2019,7
201907,5,양식,서울특별시,동작구,1,2019,7
201907,5,한식,서울특별시,동작구,2,2019,7
201907,5,중식,서울특별시,동작구,3,2019,7
201907,5,동남아,서울특별시,동작구,4,2019,7
201907,5,양식,서울특별시,동작구,5,2019,7
201907,6,양식,서울특별시,동작구,1,2019,7
201907,6,중식,서울특별시,동작구,2,2019,7
201907,7,양식,서울특별시,동작구,1,2019,7
201907,7,한식,서울특별시,동작구,2,2019,7
201907,7,중식,서울특별시,동작구,3,2019,7
201907,1,양식,서울특별시,관악구,1,2019,7
201907,1,한식,서울특별시,관악구,2,2019,7
201907,1,분식,서울특별시,관악구,3,2019,7
201907,1,중식,서울특별시,관악구,4,2019,7
201907,2,양식,서울특별시,관악구,1,2019,7
201907,2,한식,서울특별시,관악구,2,2019,7
201907,2,중식,서울특별시,관악구,3,2019,7
201907,2,분식,서울특별시,관악구,4,2019,7
201907,3,양식,서울특별시,관악구,1,2019,7
201907,3,한식,서울특별시,관악구,2,2019,7
201907,3,중식,서울특별시,관악구,3,2019,7
201907,3,분식,서울특별시,관악구,4,2019,7
201907,4,양식,서울특별시,관악구,1,2019,7
201907,4,한식,서울특별시,관악구,2,2019,7
201907,4,중식,서울특별시,관악구,3,2019,7
201907,4,분식,서울특별시,관악구,4,2019,7
201907,5,양식,서울특별시,관악구,1,2019,7
201907,5,한식,서울특별시,관악구,2,2019,7
201907,5,중식,서울특별시,관악구,3,2019,7
201907,1,한식,서울특별시,서초구,1,2019,7
201907,1,일식,서울특별시,서초구,2,2019,7
201907,1,양식,서울특별시,서초구,3,2019,7
201907,1,중식,서울특별시,서초구,4,2019,7
201907,1,분식,서울특별시,서초구,5,2019,7
201907,2,한식,서울특별시,서초구,1,2019,7
201907,2,일식,서울특별시,서초구,2,2019,7
201907,2,중식,서울특별시,서초구,3,2019,7
201907,2,양식,서울특별시,서초구,4,2019,7
201907,2,분식,서울특별시,서초구,5,2019,7
201907,3,한식,서울특별시,서초구,1,2019,7
201907,3,일식,서울특별시,서초구,2,2019,7
201907,3,양식,서울특별시,서초구,3,2019,7
201907,3,중식,서울특별시,서초구,4,2019,7
201907,3,분식,서울특별시,서초구,5,2019,7
201907,4,한식,서울특별시,서초구,1,2019,7
201907,4,일식,서울특별시,서초구,2,2019,7
201907,4,양식,서울특별시,서초구,3,2019,7
201907,4,중식,서울특별시,서초구,4,2019,7
201907,4,분식,서울특별시,서초구,5,2019,7
201907,5,한식,서울특별시,서초구,1,2019,7
201907,5,일식,서울특별시,서초구,2,2019,7
201907,5,중식,서울특별시,서초구,3,2019,7
201907,5,양식,서울특별시,서초구,4,2019,7
201907,5,분식,서울특별시,서초구,5,2019,7
201907,6,한식,서울특별시,서초구,1,2019,7
201907,1,한식,서울특별시,강남구,1,2019,7
201907,1,양식,서울특별시,강남구,2,2019,7
201907,1,동남아,서울특별시,강남구,3,2019,7
201907,1,분식,서울특별시,강남구,4,2019,7
201907,1,중식,서울특별시,강남구,5,2019,7
201907,2,양식,서울특별시,강남구,1,2019,7
201907,2,한식,서울특별시,강남구,2,2019,7
201907,2,동남아,서울특별시,강남구,3,2019,7
201907,2,분식,서울특별시,강남구,4,2019,7
201907,2,중식,서울특별시,강남구,5,2019,7
201907,3,양식,서울특별시,강남구,1,2019,7
201907,3,한식,서울특별시,강남구,2,2019,7
201907,3,동남아,서울특별시,강남구,3,2019,7
201907,3,분식,서울특별시,강남구,4,2019,7
201907,3,중식,서울특별시,강남구,5,2019,7
201907,4,양식,서울특별시,강남구,1,2019,7
201907,4,한식,서울특별시,강남구,2,2019,7
201907,4,동남아,서울특별시,강남구,3,2019,7
201907,4,분식,서울특별시,강남구,4,2019,7
201907,4,중식,서울특별시,강남구,5,2019,7
201907,5,양식,서울특별시,강남구,1,2019,7
201907,5,한식,서울특별시,강남구,2,2019,7
201907,5,동남아,서울특별시,강남구,3,2019,7
201907,5,분식,서울특별시,강남구,4,2019,7
201907,5,중식,서울특별시,강남구,5,2019,7
201907,6,양식,서울특별시,강남구,1,2019,7
201907,6,한식,서울특별시,강남구,2,2019,7
201907,6,동남아,서울특별시,강남구,3,2019,7
201907,6,중식,서울특별시,강남구,4,2019,7
201907,6,분식,서울특별시,강남구,5,2019,7
201907,7,양식,서울특별시,강남구,1,2019,7
201907,7,한식,서울특별시,강남구,2,2019,7
201907,7,동남아,서울특별시,강남구,3,2019,7
201907,7,중식,서울특별시,강남구,4,2019,7
201907,7,일식,서울특별시,강남구,5,2019,7
201907,1,한식,서울특별시,송파구,1,2019,7
201907,1,양식,서울특별시,송파구,2,2019,7
201907,1,분식,서울특별시,송파구,3,2019,7
201907,1,동남아,서울특별시,송파구,4,2019,7
201907,1,중식,서울특별시,송파구,5,2019,7
201907,2,한식,서울특별시,송파구,1,2019,7
201907,2,양식,서울특별시,송파구,2,2019,7
201907,2,중식,서울특별시,송파구,3,2019,7
201907,2,분식,서울특별시,송파구,4,2019,7
201907,2,일식,서울특별시,송파구,5,2019,7
201907,3,한식,서울특별시,송파구,1,2019,7
201907,3,중식,서울특별시,송파구,2,2019,7
201907,3,양식,서울특별시,송파구,3,2019,7
201907,3,분식,서울특별시,송파구,4,2019,7
201907,3,일식,서울특별시,송파구,5,2019,7
201907,4,한식,서울특별시,송파구,1,2019,7
201907,4,양식,서울특별시,송파구,2,2019,7
201907,4,중식,서울특별시,송파구,3,2019,7
201907,4,분식,서울특별시,송파구,4,2019,7
201907,4,일식,서울특별시,송파구,5,2019,7
201907,5,한식,서울특별시,송파구,1,2019,7
201907,5,양식,서울특별시,송파구,2,2019,7
201907,5,중식,서울특별시,송파구,3,2019,7
201907,5,분식,서울특별시,송파구,4,2019,7
201907,5,동남아,서울특별시,송파구,5,2019,7
201907,6,한식,서울특별시,송파구,1,2019,7
201907,7,분식,서울특별시,송파구,1,2019,7
201907,7,한식,서울특별시,송파구,2,2019,7
201907,1,한식,서울특별시,강동구,1,2019,7
201907,1,양식,서울특별시,강동구,2,2019,7
201907,1,중식,서울특별시,강동구,3,2019,7
201907,1,분식,서울특별시,강동구,4,2019,7
201907,1,양식,서울특별시,강동구,5,2019,7
201907,2,한식,서울특별시,강동구,1,2019,7
201907,2,양식,서울특별시,강동구,2,2019,7
201907,2,중식,서울특별시,강동구,3,2019,7
201907,2,분식,서울특별시,강동구,4,2019,7
201907,2,양식,서울특별시,강동구,5,2019,7
201907,3,한식,서울특별시,강동구,1,2019,7
201907,3,양식,서울특별시,강동구,2,2019,7
201907,3,분식,서울특별시,강동구,3,2019,7
201907,3,중식,서울특별시,강동구,4,2019,7
201907,3,양식,서울특별시,강동구,5,2019,7
201907,4,한식,서울특별시,강동구,1,2019,7
201907,4,양식,서울특별시,강동구,2,2019,7
201907,4,양식,서울특별시,강동구,3,2019,7
201907,4,분식,서울특별시,강동구,4,2019,7
201907,4,중식,서울특별시,강동구,5,2019,7
201907,5,한식,서울특별시,강동구,1,2019,7
201907,5,양식,서울특별시,강동구,2,2019,7
201907,5,중식,서울특별시,강동구,3,2019,7
201907,5,분식,서울특별시,강동구,4,2019,7
201907,5,일식,서울특별시,강동구,5,2019,7
201907,6,일식,서울특별시,강동구,1,2019,7
201907,6,양식,서울특별시,강동구,2,2019,7
201907,6,한식,서울특별시,강동구,3,2019,7
201907,7,분식,서울특별시,강동구,1,2019,7
201907,7,양식,서울특별시,강동구,2,2019,7
201907,7,한식,서울특별시,강동구,3,2019,7
201907,1,양식,부산광역시,중구,1,2019,7
201907,1,한식,부산광역시,중구,2,2019,7
201907,1,중식,부산광역시,중구,3,2019,7
201907,1,동남아,부산광역시,중구,4,2019,7
201907,1,분식,부산광역시,중구,5,2019,7
201907,2,양식,부산광역시,중구,1,2019,7
